openalexid	displayName	level	works
https://openalex.org/c170154142	Architecturalengineering	1	709700
https://openalex.org/c49545453	Urbanplanning	2	127000
https://openalex.org/c103742991	Airconditioning	2	70860
https://openalex.org/c133913538&Thermalcomfort	2	33820
https://openalex.org/c2984866010	Publicspace	2	30310
https://openalex.org/c160331591	Occupancy	2	30000
https://openalex.org/c65469	Indoorairquality	2	24040
https://openalex.org/c32957820	Microclimate	2	20520
https://openalex.org/c108865711	Landscapedesign	2	18220
https://openalex.org/c148803439	Builtenvironment	2	18120
https://openalex.org/c2780113678	Facade	2	13650
https://openalex.org/c205845201	Landscapearchitecture	2	13560
https://openalex.org/c196803488	Buildingenvelope	3	12030
https://openalex.org/c121217528	Sustainabledesign	3	9591
https://openalex.org/c2993878198	Indoorair	2	9504
https://openalex.org/c184978287	Zero-energybuilding	3	8634
https://openalex.org/c2780057273	Greeninfrastructure	2	7201
https://openalex.org/c149039472	Passivesolarbuildingdesign&3	7134
https://openalex.org/c13384339	Daylighting	2	7083
https://openalex.org/c190831278	Buildingdesign	2	6851
https://openalex.org/c173560066	Interiordesign	2	6771
https://openalex.org/c2984362373	Greenbuilding	2	6679
https://openalex.org/c89505729	Smartlighting	2	6567
https://openalex.org/c2992074223	Groundfloor	2	6195
https://openalex.org/c3019833807	Universitycampus	2	6072
https://openalex.org/c2780836893	Firedetection	2	5588
https://openalex.org/c2781098347	Greenroof	3	4603
https://openalex.org/c2777212017	Buildingcode	2	4432
https://openalex.org/c2778416130	Porch	2	4226
https://openalex.org/c110455383	Building-integratedphotovoltaics&3	4048
https://openalex.org/c89648432	Ecologicaldesign	2	3975
https://openalex.org/c553195128	Vernaculararchitecture	3	3879
https://openalex.org/c85582831	Cavitywall	2	3585
https://openalex.org/c2776187311	Curtainwall	2	3202
https://openalex.org/c2992075096	Urbangreenspace	3	3100
https://openalex.org/c3019966295	Energycost	2	2762
https://openalex.org/c2778215892	Post-occupancyevaluation	2	2525
https://openalex.org/c2777498119	Fireprevention	2	2428
https://openalex.org/c2780322740	Passivehouse	3	2203
https://openalex.org/c2776809989	Adaptivereuse	2	2138
https://openalex.org/c69752020	Buildingscience	2	2076
https://openalex.org/c2991927077	Placemaking	2	2075
https://openalex.org/c2779439448	Ecodesign	2	2030
https://openalex.org/c2992168405	Urbanconstruction	2	1996
https://openalex.org/c83854009	Environmentaldesign	2	1957
https://openalex.org/c2779653078	Ruralhousing	3	1717
https://openalex.org/c2988425146	Buildingindustry	2	1471
https://openalex.org/c2992647930	Urbangreening	3	1145
https://openalex.org/c205976826	Computer-automateddesign	3	1082
https://openalex.org/c2986229885	Europeanstandard	2	1059
https://openalex.org/c113378356	Designforassembly	3	1051
https://openalex.org/c94422084	Fireproofing	2	968
https://openalex.org/c2779331490	Flatroof	3	944
https://openalex.org/c90530108	Low-energyhouse	4	896
https://openalex.org/c60202869&Interiorarchitecture	3	708
